CustomerKey|SourceSystemKey|CustomerName|City|State|CustPricingClass|CustTradeClass|RestorationRefineryCust
42080|7|Customer 42080|SOUTHFIELD|MI|Not Listed|Not Listed|N
38564|7|Customer 38564|CADILLAC|MI|Not Listed|Not Listed|N
11151|1|Customer 11151|Fort Myers|FL|88C2 ALL OTHERS SE|STEEL ERECTION / WELDING|N
11159|1|Customer 11159|Fort Myers|FL|21C1 MASONRY/RESTORATION SE|MASONRY/RESTORATION|N
153529|10|Customer 153529|Desoto|TX|Not Listed|Not Listed|N
153507|10|Customer 153507|WEATHERFORD|TX|Not Listed|Not Listed|N
21163|1|Customer 21163|Eastpointe|MI|88B1 ALL OTHERS MW|FLOORING/TILE CUSTOMERS|N
2416|1|Customer 2416|NULL|MA|88E1 ALL OTHERS HM|SCAFFOLDING|N
2417|1|Customer 2417|Hawthorne|NJ|88E1 ALL OTHERS HM|CASH SALE/CREDIT CARD|N
2418|1|Customer 2418|Danvers|MA|88E2 ALL OTHERS HM|MECHANICAL|N
2421|1|Customer 2421|Bozrah|CT|88E2 ALL OTHERS HM|OTHER|N
2422|1|Customer 2422|Bridgeport|CT|40E5 CONCRETE HM|CONCRETE|N
2424|1|Customer 2424|Hawthorne|NY|88E3 ALL OTHERS HM|HVAC & SHEET METAL|N
2438|1|Customer 2438|East Windsor|CT|40E5 CONCRETE HM|CONCRETE|N
2439|1|Customer 2439|East Hartford|CT|88E1 ALL OTHERS HM|FLOORING/TILE CUSTOMERS|N
2441|1|Customer 2441|Milford|MA|05A5 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
2442|1|Customer 2442|Rockfall|CT|02E1 ELECTRICAL HM|ELECTRICAL|N
2443|1|Customer 2443|West Haven|CT|88E1 ALL OTHERS HM|CASH SALE/CREDIT CARD|N
2444|1|Customer 2444|Elsmford|NY|02E1 ELECTRICAL HM|ELECTRICAL|N
2445|1|Customer 2445|Middletown|CT|22E5 MECHANICAL HM|FIRE PROTECTION|N
2447|1|Customer 2447|Torrington|CT|40E1 CONCRETE HM|CONCRETE|N
2448|1|Customer 2448|Middlebury|CT|88E5 ALL OTHERS HM|ROOFING CUSTOMERS|N
2463|1|Customer 2463|North Reading|MA|05E5 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
2465|1|Customer 2465|Norwich|CT|02E5 ELECTRICAL HM|ELECTRICAL|N
2466|1|Customer 2466|Springfield|MA|22E4 MECHANICAL HM|MECHANICAL|N
2468|1|Customer 2468|North Haven|CT|05E1 GENERAL CONTRACTOR HM|GENERAL CONTRACTOR|N
2471|1|Customer 2471|New Rochelle|NY|02E2 ELECTRICAL HM|ELECTRICAL|N
2472|1|Customer 2472|Kingston|MA|02E3 ELECTRICAL HM|ELECTRICAL|N
7458|1|Customer 7458|Mechanicsburg|PA|88A1 ALL OTHERS NE|GOVERNMENT/MUNICIPAL/UTILITY|N
7460|1|Customer 7460|Frederick|MD|05A2 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
7461|1|Customer 7461|Berlin|CT|88E1 ALL OTHERS HM|TELECOM/DATA|N
7462|1|Customer 7462|Stoughton|MA|88E5 ALL OTHERS HM|FOUNDATIONS/SITE WORK|N
7463|1|Customer 7463|Malden|MA|88E5 ALL OTHERS HM|GLAZIER/GLASS COMPANY|N
7464|1|Customer 7464|W Springfield|MA|22E5 MECHANICAL HM|FIRE PROTECTION|N
7466|1|Customer 7466|Norwell|MA|22E4 MECHANICAL HM|PLUMBING|N
7467|1|Customer 7467|Greenfield|NH|88E1 ALL OTHERS HM|STEEL ERECTION / WELDING|N
7481|1|Customer 7481|Quincy|MA|02E1 ELECTRICAL HM|ELECTRICAL|N
7482|1|Customer 7482|North Billerica|MA|88E2 ALL OTHERS HM|STEEL ERECTION / WELDING|N
7483|1|Customer 7483|Canton|MA|02E1 ELECTRICAL HM|ELECTRICAL|N
7485|1|Customer 7485|Lake Mary|FL|05C4 GENERAL CONTRACTOR SE|GENERAL CONTRACTOR|N
7486|1|Customer 7486|Bradenton|FL|88C1 ALL OTHERS SE|OTHER|N
7487|1|Customer 7487|Bronx|NY|88E2 ALL OTHERS HM|CASH SALE/CREDIT CARD|N
7488|1|Customer 7488|Riviera Beach|FL|05C1 GENERAL CONTRACTOR SE|GENERAL CONTRACTOR|N
7490|1|Customer 7490|Lake Worth|FL|88C2 ALL OTHERS SE|OTHER|N
7505|1|Customer 7505|Lancaster|PA|02A4 ELECTRICAL NE|ELECTRICAL|N
7506|1|Customer 7506|Bowmansville|PA|88A4 ALL OTHERS NE|GROUNDS MAINT./LANDSCAPING|N
7507|1|Customer 7507|Brownstown|PA|05A5 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
7508|1|Customer 7508|Myerstown|PA|88A1 ALL OTHERS NE|OTHER|N
7509|1|Customer 7509|Carlisle|PA|22A3 MECHANICAL NE|MECHANICAL|N
7510|1|Customer 7510|Carlisle|PA|88A1 ALL OTHERS NE|OTHER|N
7512|1|Customer 7512|Leesport|PA|22A3 MECHANICAL NE|MECHANICAL|N
7513|1|Customer 7513|Harrisburg|PA|02A5 ELECTRICAL NE|ELECTRICAL|N
7514|1|Customer 7514|York Springs|PA|05A3 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
7515|1|Customer 7515|Smoketown|PA|88A1 ALL OTHERS NE|PARTITION & DRYWALL|N
7529|1|Customer 7529|Clinton|MD|22A3 MECHANICAL NE|MECHANICAL|N
7530|1|Customer 7530|Brentwood|MD|88A2 ALL OTHERS NE|HVAC & SHEET METAL|N
7532|1|Customer 7532|Rockville|MD|05A2 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
7533|1|Customer 7533|Upper Marlboro|MD|22A5 MECHANICAL NE|MECHANICAL|N
7534|1|Customer 7534|Beltsville|MD|02A5 ELECTRICAL NE|ELECTRICAL|N
9685|1|Customer 9685|Orlando|FL|88C1 ALL OTHERS SE|STEEL ERECTION / WELDING|N
9686|1|Customer 9686|Kissimmee|FL|88C4 ALL OTHERS SE|GLAZIER/GLASS COMPANY|N
9687|1|Customer 9687|Naples|FL|02C1 ELECTRICAL SE|ELECTRICAL|N
9701|1|Customer 9701|Winter Garden|FL|88C1 ALL OTHERS SE|FLOORING/TILE CUSTOMERS|N
9703|1|Customer 9703|Stratford|CT|88E1 ALL OTHERS HM|CASH SALE/CREDIT CARD|N
9704|1|Customer 9704|New York|NY|05A5 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
9705|1|Customer 9705|Bradenton|FL|02C4 ELECTRICAL SE|ELECTRICAL|N
9706|1|Customer 9706|Bradenton|FL|88C1 ALL OTHERS SE|ROOFING CUSTOMERS|N
9707|1|Customer 9707|Bradenton|FL|40C1 CONCRETE SE|CONCRETE|N
9708|1|Customer 9708|Bradenton|FL|05C1 GENERAL CONTRACTOR SE|GENERAL CONTRACTOR|N
9710|1|Customer 9710|Bradenton|FL|05C1 GENERAL CONTRACTOR SE|GENERAL CONTRACTOR|N
9726|1|Customer 9726|Prince Frederic|MD|88A1 ALL OTHERS NE|WHOLESALE ACCOUNTS|N
9727|1|Customer 9727|Bethesda|MD|05A5 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
9729|1|Customer 9729|Harwood|MD|02A1 ELECTRICAL NE|ELECTRICAL|N
9731|1|Customer 9731|Fennville|MI|88B3 ALL OTHERS MW|CARPENTRY/WOODWORKING/DRYWALL|N
9733|1|Customer 9733|Fort Myers|FL|40C1 CONCRETE SE|CONCRETE|N
9754|1|Customer 9754|Parrish|FL|88C1 ALL OTHERS SE|CASH SALE/CREDIT CARD|N
9757|1|Customer 9757|Newtown Square|PA|22A4 MECHANICAL NE|MECHANICAL|N
9758|1|Customer 9758|Little Ferry|NJ|88E1 ALL OTHERS HM|OTHER|N
9759|1|Customer 9759|Southington|CT|02E1 ELECTRICAL HM|ELECTRICAL|N
9773|1|Customer 9773|Rochester|NY|88A1 ALL OTHERS NE|PARTITION & DRYWALL|N
9774|1|Customer 9774|Rochester|NY|88A1 ALL OTHERS NE|GROUNDS MAINT./LANDSCAPING|N
9778|1|Customer 9778|Rochester|NY|05A1 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
9779|1|Customer 9779|Manchester|MI|88B1 ALL OTHERS MW|OTHER|N
9782|1|Customer 9782|Rochester|NY|02A5 ELECTRICAL NE|ELECTRICAL|N
9796|1|Customer 9796|Miramar|FL|05C2 GENERAL CONTRACTOR SE|GENERAL CONTRACTOR|N
9797|1|Customer 9797|Pompano Beach|FL|88C1 ALL OTHERS SE|HIGHWAY/BRIDGE CUSTOMERS|N
9798|1|Customer 9798|Rochester|NY|88A1 ALL OTHERS NE|OTHER|N
9799|1|Customer 9799|Bridge City|LA|88C1 ALL OTHERS SE|CREDIT CARD CUSTOMERS NO TRADE|N
9800|1|Customer 9800|Boynton Beach|FL|88C2 ALL OTHERS SE|STEEL ERECTION / WELDING|N
9543|1|Customer 9543|Bronx|NY|88E1 ALL OTHERS HM|CARPENTRY/WOODWORKING/DRYWALL|N
9544|1|Customer 9544|Ronkonkoma|NY|88A4 ALL OTHERS NE|FOUNDATIONS/SITE WORK|N
8301|1|Customer 8301|Jacksonville|FL|88C1 ALL OTHERS SE|OTHER|N
8316|1|Customer 8316|Vidalia|GA|88C2 ALL OTHERS SE|OTHER|N
8343|1|Customer 8343|Fort Myers|FL|88C1 ALL OTHERS SE|FLOORING/TILE CUSTOMERS|N
8344|1|Customer 8344|Sarasota|FL|88C6 ALL OTHERS SE|ROOFING CUSTOMERS|N
8345|1|Customer 8345|Naples|FL|88C5 ALL OTHERS SE|ROOFING CUSTOMERS|N
8363|1|Customer 8363|Baltimore|MD|88A4 ALL OTHERS NE|FIRE PROTECTION|N
23929|1|Customer 23929|Dania Beach|FL|88C4 ALL OTHERS SE|OTHER|N
23945|1|Customer 23945|Cumberland|RI|40A5 CONCRETE NE|HIGHWAY/BRIDGE CUSTOMERS|N
23948|1|Customer 23948|Westerly|RI|05A4 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
23949|1|Customer 23949|Millville|MA|05A1 GENERAL CONTRACTOR NE|GENERAL CONTRACTOR|N
23969|1|Customer 23969|Lake Mary|FL|88C5 ALL OTHERS SE|OTHER|N
