productkey|SourceSystemKey|Productid|ProductDescription|ProductCategory|ProductProfile
284365|1|Product 284365|ProductDescr 284365|CLEANING EQUIPMENT & SUPPLIES|Cleaning & Janitorial Products
284368|1|Product 284368|ProductDescr 284368|FASTENERS|Nuts Bolts Washers Rivets Etc
284369|1|Product 284369|ProductDescr 284369|FASTENERS|Nuts Bolts Washers Rivets Etc
284539|1|Product 284539|ProductDescr 284539|JOBSITE SAFETY & PROTECTION|All Other Safety Products
284540|1|Product 284540|ProductDescr 284540|HOSE & ACCESSORIES|Hose & Accessories
284541|1|Product 284541|ProductDescr 284541|HOSE & ACCESSORIES|Hose & Accessories
284544|1|Product 284544|ProductDescr 284544|POWER TOOLS & ACCESSORIES|Abrasives
284546|1|Product 284546|ProductDescr 284546|PERSONAL PROTECTIVE EQUIPMENT|Hard Hats & Hearing Protection
284548|1|Product 284548|ProductDescr 284548|PERSONAL PROTECTIVE EQUIPMENT|Hard Hats & Hearing Protection
284554|1|Product 284554|ProductDescr 284554|STRUT/HANGERS/ROD|Strut Accessories
253813|1|Product 253813|ProductDescr 253813|ROOFING & BUILDING MATERIALS|Masonry Products
253814|1|Product 253814|ProductDescr 253814|JOBSITE SAFETY & PROTECTION|Poly Sheeting & Zipwall
253815|1|Product 253815|ProductDescr 253815|FASTENERS|Nuts Bolts Washers Rivets Etc
253820|1|Product 253820|ProductDescr 253820|REPAIRS|Repair Parts
241571|1|Product 241571|ProductDescr 241571|ELECTRICAL TOOLS & ACCESSORIES|Knockout Punches Dies Sets
241573|1|Product 241573|ProductDescr 241573|ELECTRICAL TOOLS & ACCESSORIES|Knockout Punches Dies Sets
241575|1|Product 241575|ProductDescr 241575|REPAIRS|Repair Parts
241576|1|Product 241576|ProductDescr 241576|POWER TOOLS & ACCESSORIES|Screwgun Accessories
241577|1|Product 241577|ProductDescr 241577|POWER TOOLS & ACCESSORIES|Cordless Tools
241578|1|Product 241578|ProductDescr 241578|POWER TOOLS & ACCESSORIES|Screwgun Accessories
241579|1|Product 241579|ProductDescr 241579|JOBSITE SAFETY & PROTECTION|Spill Prevention & Stormwater
241580|1|Product 241580|ProductDescr 241580|POWER TOOLS & ACCESSORIES|Screwgun Accessories
